"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""711"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""32.049"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""6.745"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""B-Condutor Carro"",""42.531"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""C-Condutor Caminhão"",""154"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""D-Condutor Ônibus"",""7.991"""
"Nordeste,""Maranhão"",""Masculino"",""31 a 40"",""E-Condutor Carreta"",""1.129"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""A-Condutor Moto"",""8.498"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""AB-Condutor Moto/Carro"",""48.423"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""3.538"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""19.213"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""AE-Condutor Moto/Carreta"",""4.740"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""B-Condutor Carro"",""33.763"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""C-Condutor Caminhão"",""2.191"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""D-Condutor Ônibus"",""9.811"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""E-Condutor Carreta"",""1.994"""
"Nordeste,""Maranhão"",""Masculino"",""41 a 50"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""A-Condutor Moto"",""4.131"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""AB-Condutor Moto/Carro"",""20.494"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""AC-Condutor Moto/Caminhão"",""4.524"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""AD-Condutor Moto/Ônibus"",""9.614"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""AE-Condutor Moto/Carreta"",""1.899"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""B-Condutor Carro"",""24.700"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""C-Condutor Caminhão"",""5.089"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""D-Condutor Ônibus"",""11.416"""
"Nordeste,""Maranhão"",""Masculino"",""51 a 60"",""E-Condutor Carreta"",""1.864"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""A-Condutor Moto"",""1.361"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""AB-Condutor Moto/Carro"",""6.619"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""1.872"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""3.459"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""534"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""B-Condutor Carro"",""18.883"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""C-Condutor Caminhão"",""4.972"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""D-Condutor Ônibus"",""10.385"""
"Nordeste,""Maranhão"",""Masculino"",""61 a 70"",""E-Condutor Carreta"",""1.145"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""A-Condutor Moto"",""305"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""AB-Condutor Moto/Carro"",""1.476"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""AC-Condutor Moto/Caminhão"",""396"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""484"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""AE-Condutor Moto/Carreta"",""60"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""B-Condutor Carro"",""10.324"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""C-Condutor Caminhão"",""3.052"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""D-Condutor Ônibus"",""3.465"""
"Nordeste,""Maranhão"",""Masculino"",""71 a 80"",""E-Condutor Carreta"",""258"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""A-Condutor Moto"",""49"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""AB-Condutor Moto/Carro"",""194"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""AC-Condutor Moto/Caminhão"",""74"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""AD-Condutor Moto/Ônibus"",""56"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""AE-Condutor Moto/Carreta"",""4"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""B-Condutor Carro"",""3.772"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""C-Condutor Caminhão"",""1.635"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""D-Condutor Ônibus"",""812"""
"Nordeste,""Maranhão"",""Masculino"",""81 a 90"",""E-Condutor Carreta"",""40"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""A-Condutor Moto"",""2"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""AB-Condutor Moto/Carro"",""20"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""AC-Condutor Moto/Caminhão"",""9"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""AD-Condutor Moto/Ônibus"",""4"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""B-Condutor Carro"",""1.048"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""C-Condutor Caminhão"",""410"""
"Nordeste,""Maranhão"",""Masculino"",""91 a 100"",""D-Condutor Ônibus"",""114"""
"Nordeste,""Maranhão"",""Masculino"",""101 a 120"",""AB-Condutor Moto/Carro"",""2"""
"Nordeste,""Maranhão"",""Masculino"",""101 a 120"",""B-Condutor Carro"",""99"""
"Nordeste,""Maranhão"",""Masculino"",""101 a 120"",""C-Condutor Caminhão"",""23"""
"Nordeste,""Maranhão"",""Masculino"",""101 a 120"",""D-Condutor Ônibus"",""2"""
"Nordeste,""Maranhão"",""Masculino"",""101 a 120"",""E-Condutor Carreta"",""1"""
"Nordeste,""Maranhão"",""Feminino"",""18 a 21"",""A-Condutor Moto"",""752"""
"Nordeste,""Maranhão"",""Feminino"",""18 a 21"",""AB-Condutor Moto/Carro"",""2.789"""
"Nordeste,""Maranhão"",""Feminino"",""18 a 21"",""B-Condutor Carro"",""2.836"""
"Nordeste,""Maranhão"",""Feminino"",""18 a 21"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Nordeste,""Maranhão"",""Feminino"",""22 a 25"",""A-Condutor Moto"",""2.514"""
"Nordeste,""Maranhão"",""Feminino"",""22 a 25"",""AB-Condutor Moto/Carro"",""8.544"""
"Nordeste,""Maranhão"",""Feminino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""26"""
"Nordeste,""Maranhão"",""Feminino"",""22 a 25"",""B-Condutor Carro"",""9.324"""
"Nordeste,""Maranhão"",""Feminino"",""22 a 25"",""D-Condutor Ônibus"",""8"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""A-Condutor Moto"",""4.029"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""AB-Condutor Moto/Carro"",""14.165"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""1"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""151"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""3"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""B-Condutor Carro"",""17.050"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""D-Condutor Ônibus"",""34"""
"Nordeste,""Maranhão"",""Feminino"",""26 a 30"",""E-Condutor Carreta"",""4"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""A-Condutor Moto"",""8.136"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""AB-Condutor Moto/Carro"",""29.159"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""6"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""441"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""41"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""B-Condutor Carro"",""45.772"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""C-Condutor Caminhão"",""4"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""D-Condutor Ônibus"",""180"""
"Nordeste,""Maranhão"",""Feminino"",""31 a 40"",""E-Condutor Carreta"",""9"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""A-Condutor Moto"",""3.893"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""AB-Condutor Moto/Carro"",""13.462"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""81"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""275"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""AE-Condutor Moto/Carreta"",""29"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""B-Condutor Carro"",""33.182"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""C-Condutor Caminhão"",""35"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""D-Condutor Ônibus"",""218"""
"Nordeste,""Maranhão"",""Feminino"",""41 a 50"",""E-Condutor Carreta"",""10"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""A-Condutor Moto"",""1.168"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""AB-Condutor Moto/Carro"",""4.133"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""AC-Condutor Moto/Caminhão"",""92"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""AD-Condutor Moto/Ônibus"",""90"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""AE-Condutor Moto/Carreta"",""8"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""B-Condutor Carro"",""20.991"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""C-Condutor Caminhão"",""113"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""D-Condutor Ônibus"",""202"""
"Nordeste,""Maranhão"",""Feminino"",""51 a 60"",""E-Condutor Carreta"",""12"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""A-Condutor Moto"",""123"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""AB-Condutor Moto/Carro"",""632"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""34"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""20"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""3"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""B-Condutor Carro"",""11.388"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""C-Condutor Caminhão"",""87"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""D-Condutor Ônibus"",""90"""
"Nordeste,""Maranhão"",""Feminino"",""61 a 70"",""E-Condutor Carreta"",""4"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""A-Condutor Moto"",""7"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""AB-Condutor Moto/Carro"",""56"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""AC-Condutor Moto/Caminhão"",""2"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""1"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""B-Condutor Carro"",""3.763"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""C-Condutor Caminhão"",""20"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""D-Condutor Ônibus"",""14"""
"Nordeste,""Maranhão"",""Feminino"",""71 a 80"",""E-Condutor Carreta"",""2"""
"Nordeste,""Maranhão"",""Feminino"",""81 a 90"",""AB-Condutor Moto/Carro"",""6"""
"Nordeste,""Maranhão"",""Feminino"",""81 a 90"",""AD-Condutor Moto/Ônibus"",""1"""
"Nordeste,""Maranhão"",""Feminino"",""81 a 90"",""B-Condutor Carro"",""890"""
"Nordeste,""Maranhão"",""Feminino"",""81 a 90"",""C-Condutor Caminhão"",""5"""
"Nordeste,""Maranhão"",""Feminino"",""81 a 90"",""D-Condutor Ônibus"",""2"""
"Nordeste,""Maranhão"",""Feminino"",""91 a 100"",""B-Condutor Carro"",""169"""
"Nordeste,""Maranhão"",""Feminino"",""101 a 120"",""B-Condutor Carro"",""4"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""A-Condutor Moto"",""610"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""AB-Condutor Moto/Carro"",""11.748"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""AC-Condutor Moto/Caminhão"",""39"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""AD-Condutor Moto/Ônibus"",""62"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""AE-Condutor Moto/Carreta"",""2"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""B-Condutor Carro"",""4.148"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""C-Condutor Caminhão"",""3"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""D-Condutor Ônibus"",""2"""
"Nordeste,""Paraíba"",""Masculino"",""18 a 21"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""A-Condutor Moto"",""2.151"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""AB-Condutor Moto/Carro"",""28.388"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""AC-Condutor Moto/Caminhão"",""70"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""1.427"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""AE-Condutor Moto/Carreta"",""87"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""B-Condutor Carro"",""8.818"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""C-Condutor Caminhão"",""8"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""D-Condutor Ônibus"",""105"""
"Nordeste,""Paraíba"",""Masculino"",""22 a 25"",""E-Condutor Carreta"",""6"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""A-Condutor Moto"",""4.168"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""AB-Condutor Moto/Carro"",""43.010"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""368"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""4.878"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""604"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""B-Condutor Carro"",""13.156"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""C-Condutor Caminhão"",""32"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""D-Condutor Ônibus"",""354"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""E-Condutor Carreta"",""40"""
"Nordeste,""Paraíba"",""Masculino"",""26 a 30"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""A-Condutor Moto"",""9.543"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""AB-Condutor Moto/Carro"",""92.374"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""1.597"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""19.287"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""3.792"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""B-Condutor Carro"",""32.471"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""C-Condutor Caminhão"",""290"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""D-Condutor Ônibus"",""2.887"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""E-Condutor Carreta"",""640"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""X-Condutor Ciclomotor"",""6"""
"Nordeste,""Paraíba"",""Masculino"",""31 a 40"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""A-Condutor Moto"",""6.143"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""AB-Condutor Moto/Carro"",""55.426"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""3.172"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""14.302"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""AE-Condutor Moto/Carreta"",""3.423"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""B-Condutor Carro"",""31.731"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""C-Condutor Caminhão"",""1.485"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""D-Condutor Ônibus"",""5.677"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""E-Condutor Carreta"",""1.507"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""X-Condutor Ciclomotor"",""3"""
"Nordeste,""Paraíba"",""Masculino"",""41 a 50"",""XB-Condutor Ciclomotor/Carro"",""2"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""A-Condutor Moto"",""3.471"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""AB-Condutor Moto/Carro"",""30.220"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""AC-Condutor Moto/Caminhão"",""3.514"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""AD-Condutor Moto/Ônibus"",""8.191"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""AE-Condutor Moto/Carreta"",""1.857"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""B-Condutor Carro"",""32.584"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""C-Condutor Caminhão"",""3.954"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""D-Condutor Ônibus"",""8.048"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""E-Condutor Carreta"",""1.700"""
"Nordeste,""Paraíba"",""Masculino"",""51 a 60"",""X-Condutor Ciclomotor"",""9"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""A-Condutor Moto"",""1.217"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""AB-Condutor Moto/Carro"",""11.601"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""1.069"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""2.867"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""527"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""B-Condutor Carro"",""30.998"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""C-Condutor Caminhão"",""2.901"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""D-Condutor Ônibus"",""7.839"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""E-Condutor Carreta"",""1.072"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""61 a 70"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""A-Condutor Moto"",""496"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""AB-Condutor Moto/Carro"",""3.543"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""AC-Condutor Moto/Caminhão"",""287"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""544"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""AE-Condutor Moto/Carreta"",""89"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""B-Condutor Carro"",""20.376"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""C-Condutor Caminhão"",""1.776"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""D-Condutor Ônibus"",""3.743"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""E-Condutor Carreta"",""350"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Masculino"",""71 a 80"",""XB-Condutor Ciclomotor/Carro"",""2"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""A-Condutor Moto"",""96"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""AB-Condutor Moto/Carro"",""649"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""AC-Condutor Moto/Caminhão"",""68"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""AD-Condutor Moto/Ônibus"",""77"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""AE-Condutor Moto/Carreta"",""9"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""B-Condutor Carro"",""8.870"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""C-Condutor Caminhão"",""911"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""D-Condutor Ônibus"",""1.372"""
"Nordeste,""Paraíba"",""Masculino"",""81 a 90"",""E-Condutor Carreta"",""82"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""A-Condutor Moto"",""8"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""AB-Condutor Moto/Carro"",""75"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""AC-Condutor Moto/Caminhão"",""4"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""AD-Condutor Moto/Ônibus"",""5"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""AE-Condutor Moto/Carreta"",""2"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""B-Condutor Carro"",""2.426"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""C-Condutor Caminhão"",""185"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""D-Condutor Ônibus"",""200"""
"Nordeste,""Paraíba"",""Masculino"",""91 a 100"",""E-Condutor Carreta"",""11"""
"Nordeste,""Paraíba"",""Masculino"",""101 a 120"",""AB-Condutor Moto/Carro"",""4"""
"Nordeste,""Paraíba"",""Masculino"",""101 a 120"",""B-Condutor Carro"",""230"""
"Nordeste,""Paraíba"",""Masculino"",""101 a 120"",""C-Condutor Caminhão"",""7"""
"Nordeste,""Paraíba"",""Masculino"",""101 a 120"",""D-Condutor Ônibus"",""3"""
"Nordeste,""Paraíba"",""Feminino"",""18 a 21"",""A-Condutor Moto"",""138"""
"Nordeste,""Paraíba"",""Feminino"",""18 a 21"",""AB-Condutor Moto/Carro"",""2.178"""
"Nordeste,""Paraíba"",""Feminino"",""18 a 21"",""B-Condutor Carro"",""4.012"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""A-Condutor Moto"",""617"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""AB-Condutor Moto/Carro"",""6.266"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""9"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""B-Condutor Carro"",""9.964"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""D-Condutor Ônibus"",""3"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Feminino"",""22 a 25"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""A-Condutor Moto"",""1.398"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""AB-Condutor Moto/Carro"",""10.976"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""2"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""55"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""5"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""B-Condutor Carro"",""17.543"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""D-Condutor Ônibus"",""13"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""X-Condutor Ciclomotor"",""1"""
"Nordeste,""Paraíba"",""Feminino"",""26 a 30"",""XB-Condutor Ciclomotor/Carro"",""2"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""A-Condutor Moto"",""3.284"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""AB-Condutor Moto/Carro"",""24.081"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""16"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""213"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""16"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""B-Condutor Carro"",""45.906"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""C-Condutor Caminhão"",""7"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""D-Condutor Ônibus"",""123"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""E-Condutor Carreta"",""3"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""X-Condutor Ciclomotor"",""3"""
"Nordeste,""Paraíba"",""Feminino"",""31 a 40"",""XB-Condutor Ciclomotor/Carro"",""3"""
"Nordeste,""Paraíba"",""Feminino"",""41 a 50"",""A-Condutor Moto"",""1.569"""
"Nordeste,""Paraíba"",""Feminino"",""41 a 50"",""AB-Condutor Moto/Carro"",""10.215"""
"Nordeste,""Paraíba"",""Feminino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""24"""
"Nordeste,""Paraíba"",""Feminino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""183"""
